104.25.240.195:443#HKG | 438.12(MB/s)
104.25.243.161:443#HKG | 410.09(MB/s)
104.17.194.139:443#HKG | 380.74(MB/s)
104.17.196.42:443#SJC | 335.60(MB/s)
104.16.148.155:443#HKG | 326.92(MB/s)
104.16.204.194:443#HKG | 299.76(MB/s)
104.25.247.113:443#HKG | 293.41(MB/s)
172.64.154.27:443#HKG | 283.27(MB/s)
104.17.192.158:443#HKG | 245.01(MB/s)
104.17.27.128:443#HKG | 231.35(MB/s)
172.64.159.218:443#HKG | 230.58(MB/s)
104.16.255.118:443#HKG | 224.60(MB/s)
104.17.26.155:443#HKG | 200.50(MB/s)
172.64.156.67:443#HKG | 138.03(MB/s)
