104.25.242.246:2053#🇭🇰HKG┃⚡ 505.48(MB/s)
104.19.215.176:2053#🇺🇸SJC┃⚡ 460.20(MB/s)
190.93.244.30:2053#🇭🇰HKG┃⚡ 397.05(MB/s)
172.64.146.102:2053#🇭🇰HKG┃⚡ 383.24(MB/s)
104.16.0.198:2053#🇺🇸SEA┃⚡ 329.88(MB/s)
104.18.167.154:2053#🇺🇸SJC┃⚡ 325.59(MB/s)
104.18.155.136:2053#🇭🇰HKG┃⚡ 317.83(MB/s)
104.18.165.98:2053#🇺🇸SJC┃⚡ 303.11(MB/s)
104.17.207.233:2053#🇺🇸SJC┃⚡ 291.96(MB/s)
104.17.202.178:2053#🇺🇸SJC┃⚡ 287.51(MB/s)
104.16.9.74:2053#🇭🇰HKG┃⚡ 285.55(MB/s)
172.64.153.73:2053#🇭🇰HKG┃⚡ 245.36(MB/s)
104.25.244.119:2053#🇭🇰HKG┃⚡ 224.31(MB/s)
104.19.210.29:2053#🇭🇰HKG┃⚡ 182.18(MB/s)
104.16.6.18:2053#🇭🇰HKG┃⚡ 174.54(MB/s)
104.17.129.229:2053#🇭🇰HKG┃⚡ 161.34(MB/s)
104.18.187.208:2053#🇭🇰HKG┃⚡ 134.63(MB/s)
104.18.184.56:2053#🇭🇰HKG┃⚡ 126.95(MB/s)
104.17.201.70:2053#🇭🇰HKG┃⚡ 125.47(MB/s)
104.19.208.93:2053#🇭🇰HKG┃⚡ 78.34(MB/s)
