IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.80.122,4,4,0.00,82.76,568.99
104.19.217.219,4,4,0.00,90.28,459.72
162.159.43.220,4,4,0.00,92.89,455.99
162.159.34.131,4,4,0.00,92.37,445.48
104.25.242.123,4,4,0.00,92.96,435.74
104.18.148.40,4,4,0.00,93.04,398.09
104.18.236.49,4,4,0.00,88.94,390.72
104.16.2.242,4,4,0.00,91.47,386.42
162.159.35.108,4,4,0.00,92.84,370.21
104.19.220.239,4,4,0.00,91.80,369.62
104.25.243.125,4,4,0.00,91.32,309.83
104.18.173.25,4,4,0.00,93.11,278.81
104.17.140.192,4,4,0.00,93.07,276.02
104.18.172.222,4,4,0.00,90.67,256.57
104.18.186.72,4,4,0.00,91.28,254.43
104.18.224.22,4,4,0.00,89.19,252.82
104.18.175.50,4,4,0.00,87.10,235.42
104.19.222.196,4,4,0.00,88.85,193.22
104.19.213.115,4,4,0.00,87.76,130.58
190.93.245.85,4,4,0.00,85.96,99.58
