IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2a06:98c1:3123:3b18:d69c:2e52:6ff6:ea7e,4,4,0.00,75.69,6.00
2a06:98c1:3123:d3d5:8d2a:63ef:148b:61d9,4,4,0.00,74.82,5.92
2a06:98c1:3123:d3d5:8d2a:6eb1:7f91:c189,4,4,0.00,72.67,5.85
2a06:98c1:3123:3b18:4965:712f:99e5:73c8,4,4,0.00,75.47,5.80
2a06:98c1:3123:d3d5:8d2a:6e7e:865:1758,4,4,0.00,72.58,5.77
2a06:98c1:3123:d3d5:8dec:1a0d:98ad:38ae,4,4,0.00,73.70,5.71
2a06:98c1:3120:0:7c:2661:e8b6:3ff3,4,4,0.00,81.63,5.70
2a06:98c1:3120:0:7c:2691:e8ee:567b,4,4,0.00,79.12,5.62
2a06:98c1:3120::1c:b4aa:2a7f,4,4,0.00,74.37,5.56
2a06:98c1:3123:d3d5:8dec:1aa3:4120:5dc1,4,4,0.00,67.18,5.54
2a06:98c1:3120::3828:e96e:5dfd,4,4,0.00,82.20,5.50
2a06:98c1:3120:0:7c:2661:a19a:2f94,4,4,0.00,77.19,5.46
2a06:98c1:3123:d307:f92f:e68e:4378:7f23,4,4,0.00,73.23,5.44
2a06:98c1:3123:d3d5:8dec:72bf:4245:9571,4,4,0.00,66.32,5.42
2a06:98c1:3120::cdcc:180f:d2be,4,4,0.00,79.97,5.38
2a06:98c1:3120:0:7d:6c2e:cd70:90b9,4,4,0.00,81.47,5.37
2606:4700:3030::f426:8b6f,4,4,0.00,71.00,5.21
2a06:98c1:3120::3828:a7d1:3963,4,4,0.00,78.23,5.15
2a06:98c1:3120::3828:2a80:ac74,4,4,0.00,79.83,5.15
2a06:98c1:3123:d3d5:8dec:1a0d:98fc:1639,4,4,0.00,75.27,5.06
