IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.159.22,4,4,0.00,82.80,5.63
104.18.147.38,4,4,0.00,83.70,5.63
104.18.148.75,4,4,0.00,84.35,5.59
104.16.5.16,4,4,0.00,82.97,5.59
104.18.153.212,4,4,0.00,84.75,5.57
104.18.150.75,4,4,0.00,82.03,5.56
104.16.13.1,4,4,0.00,81.82,5.54
198.41.221.100,4,4,0.00,82.92,5.50
104.18.71.191,4,4,0.00,83.24,5.46
104.16.8.72,4,4,0.00,84.67,5.45
172.67.190.19,4,4,0.00,54.00,5.45
104.17.177.181,4,4,0.00,83.56,5.43
172.64.155.19,4,4,0.00,84.32,5.42
104.22.15.120,4,4,0.00,68.53,5.42
104.18.191.151,4,4,0.00,83.73,5.41
104.18.163.209,4,4,0.00,83.40,5.40
104.17.201.47,4,4,0.00,80.59,5.32
104.18.173.50,4,4,0.00,81.94,5.28
104.17.97.5,4,4,0.00,69.33,5.24
104.18.180.139,4,4,0.00,81.50,5.01
