IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.212.44.95,4,4,0.00,62.56,0.00
8.210.166.116,4,4,0.00,62.63,0.00
47.57.13.107,4,4,0.00,68.61,0.00
47.243.236.86,4,4,0.00,69.94,0.00
8.217.166.3,4,4,0.00,73.36,0.00
8.222.240.83,4,4,0.00,83.47,0.00
8.222.160.7,4,4,0.00,84.24,0.00
8.219.124.131,4,4,0.00,84.25,0.00
8.222.186.125,4,4,0.00,87.12,0.00
8.222.203.242,4,4,0.00,87.48,0.00
8.219.83.233,4,4,0.00,87.56,0.00
8.222.141.216,4,4,0.00,87.99,0.00
8.222.165.104,4,4,0.00,88.97,0.00
8.219.49.204,4,4,0.00,89.10,0.00
8.219.65.59,4,4,0.00,89.44,0.00
8.219.48.99,4,4,0.00,89.83,0.00
8.219.0.198,4,4,0.00,90.44,0.00
8.219.121.184,4,4,0.00,90.56,0.00
8.222.163.12,4,4,0.00,91.00,0.00
47.245.118.196,4,4,0.00,91.04,0.00
