IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:f4::cb22:6882:dc0e,4,4,0.00,51.32,5.46
2606:4700:f4::4fe7:ddfa,4,4,0.00,46.92,5.46
2606:4700:3030:0:f8:dd6e:329c:aeee,4,4,0.00,51.63,5.43
2606:4700:f4::4f35:1347,4,4,0.00,47.50,5.36
2606:4700:3030:0:59cb:e512:8aa0:53f,4,4,0.00,50.09,5.33
2606:4700:f4::3b:4c2f:4ffe,4,4,0.00,51.08,5.30
2606:4700:3030::3335,4,4,0.00,50.44,5.23
2606:4700:3030:0:f8:a357:c31d:e2c2,4,4,0.00,49.68,5.23
2a06:98c1:3123:6ce2:866e:a056:34b7:749,4,4,0.00,51.64,5.14
2606:4700:3030:74:3957:377e:8c7d:3915,4,4,0.00,50.83,5.01
